InertiaMove,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Time,IterationNum,RobotID,Count,
0,0,10,194.42,48263.7,195.42,50,0,0,0.04,7.455338,0.99125,0.42375,800,
0.1,0,10,193.595,48059.36,194.595,50,0,0,0.04,7.145211,2.25625,0.415,800,
0.2,0,10,204.025,50653.03,205.025,50,0,0,0.04,7.742543,1.71125,0.5,800,
0.3,0,10,226.7487,56304.23,227.7487,50,0,0,0.04,8.082546,1.75875,0.65625,800,
0.4,0,10,253.7413,63024.11,254.7413,50,0,0,0.04,9.303473,2.48125,0.50875,800,
0.5,0,10,200.87,49868.66,201.87,50,0,0,0.04,7.511507,1.955,0.49125,800,
0.6,0,10,189.365,46999.84,190.365,50,0,0,0.04,6.786487,1.7825,0.6025,800,
0.7,0,10,201.3825,49981,202.3825,50,0,0,0.04,7.351816,2.14875,0.505,800,
0.8,0,10,225.2462,55900.62,226.2462,50,0,0,0.04,8.044945,2.2275,0.39125,800,
0.9,0,10,370.8962,92119.21,371.8962,50,0,0,0.04,12.7904,2.315,0.35625,800,
InertiaMove,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Time,IterationNum,RobotID,Count,
0,0,10,192.4362,47770.05,193.4362,50,0,0,0.04,7.433181,1.665,0.5575,800,
0.1,0,10,191.2125,47466.61,192.2125,50,0,0,0.04,7.304859,1.7225,0.3675,800,
0.2,0,10,198.3237,49236.36,199.3237,50,0,0,0.04,7.414398,2.14625,0.69375,800,
0.3,0,10,228.1725,56661.91,229.1725,50,0,0,0.04,8.297677,1.3675,0.46125,800,
0.4,0,10,256.4088,63689.82,257.4088,50,0,0,0.04,9.429581,1.98625,0.37125,800,
0.5,0,10,196.6362,48817.68,197.6362,50,0,0,0.04,7.537898,1.50625,0.585,800,
0.6,0,10,185.2563,45980.3,186.2563,50,0,0,0.04,7.043545,2.0575,0.5025,800,
0.7,0,10,201.1013,49913.08,202.1013,50,0,0,0.04,7.308973,1.73,0.5225,800,
0.8,0,10,234.0675,58093.77,235.0675,50,0,0,0.04,8.411922,1.91875,0.4225,800,
0.9,0,10,366.5812,91043.81,367.5812,50,0,0,0.04,12.89664,1.61625,0.565,800,
InertiaMove,CollectedDecoys,CollectedTargets,LastCollect,TotalDistance,Iterations,AliveRobots,RoboCollison,ObsCollison,SingleNum,Time,IterationNum,RobotID,Count,
0,0,10,204.1187,50693.44,205.1187,50,0,0,0.04,8.375329,2.23625,0.3975,800,
0.1,0,10,204.0712,50681.85,205.0712,50,0,0,0.04,8.273185,1.61,0.4675,800,
0.2,0,10,210.93,52387.91,211.93,50,0,0,0.04,8.624616,2.10875,0.55125,800,
0.3,0,10,233.6375,58034.95,234.6375,50,0,0,0.04,9.301882,2.11625,0.50875,800,
0.4,0,10,257.4862,63969.89,258.4862,50,0,0,0.04,10.08691,1.77625,0.5375,800,
0.5,0,10,207.5412,51543.16,208.5412,50,0,0,0.04,8.417575,1.8875,0.41,800,
0.6,0,10,196.305,48735.84,197.305,50,0,0,0.04,7.911436,1.6475,0.57,800,
0.7,0,10,201.2213,49948.49,202.2213,50,0,0,0.04,7.902956,1.51125,0.5025,800,
0.8,0,10,228.8237,56793.52,229.8237,50,0,0,0.04,9.231896,2.36625,0.37,800,
0.9,0,10,348.985,86670.58,349.985,50,0,0,0.04,13.14223,1.9325,0.53,800,
